order_number,order_date,product_code,product_line,quantity_ordered,price_each,sales,country,year,month,quarter,product_id
10107,2003-02-24,S10_1678,Motorcycles,30,95.7,2871.0,USA,2003,2,1,1
10121,2003-05-07,S10_1678,Motorcycles,34,81.35,2765.9,France,2003,5,2,1
10134,2003-07-01,S10_1678,Motorcycles,41,94.74,3884.34,France,2003,7,3,1
10145,2003-08-25,S10_1678,Motorcycles,45,83.26,3746.7,USA,2003,8,3,1
10159,2003-10-10,S10_1678,Motorcycles,49,100.0,5205.27,USA,2003,10,4,1
10168,2003-10-28,S10_1678,Motorcycles,36,96.66,3479.76,USA,2003,10,4,1
10180,2003-11-11,S10_1678,Motorcycles,29,86.13,2497.77,France,2003,11,4,1
10188,2003-11-18,S10_1678,Motorcycles,48,100.0,5512.32,Norway,2003,11,4,1
10201,2003-12-01,S10_1678,Motorcycles,22,98.57,2168.54,USA,2003,12,4,1
10211,2004-01-15,S10_1678,Motorcycles,41,100.0,4708.44,France,2004,1,1,1
10223,2004-02-20,S10_1678,Motorcycles,37,100.0,3965.66,Australia,2004,2,1,1
10237,2004-04-05,S10_1678,Motorcycles,23,100.0,2333.12,USA,2004,4,2,1
10251,2004-05-18,S10_1678,Motorcycles,28,100.0,3188.64,USA,2004,5,2,1
10263,2004-06-28,S10_1678,Motorcycles,34,100.0,3676.76,USA,2004,6,2,1
10275,2004-07-23,S10_1678,Motorcycles,45,92.83,4177.35,France,2004,7,3,1
10285,2004-08-27,S10_1678,Motorcycles,36,100.0,4099.68,USA,2004,8,3,1
10299,2004-09-30,S10_1678,Motorcycles,23,100.0,2597.39,Finland,2004,9,3,1
10309,2004-10-15,S10_1678,Motorcycles,41,100.0,4394.38,Norway,2004,10,4,1
10318,2004-11-02,S10_1678,Motorcycles,46,94.74,4358.04,USA,2004,11,4,1
10329,2004-11-15,S10_1678,Motorcycles,42,100.0,4396.14,USA,2004,11,4,1
10341,2004-11-24,S10_1678,Motorcycles,41,100.0,7737.93,Austria,2004,11,4,1
10361,2004-12-17,S10_1678,Motorcycles,20,72.55,1451.0,Australia,2004,12,4,1
10375,2005-02-03,S10_1678,Motorcycles,21,34.91,733.11,France,2005,2,1,1
10388,2005-03-03,S10_1678,Motorcycles,42,76.36,3207.12,USA,2005,3,1,1
10403,2005-04-08,S10_1678,Motorcycles,24,100.0,2434.56,UK,2005,4,2,1
10417,2005-05-13,S10_1678,Motorcycles,66,100.0,7516.08,Spain,2005,5,2,1
10103,2003-01-29,S10_1949,Classic Cars,26,100.0,5404.62,Norway,2003,1,1,2
10112,2003-03-24,S10_1949,Classic Cars,29,100.0,7209.11,Sweden,2003,3,1,2
10126,2003-05-28,S10_1949,Classic Cars,38,100.0,7329.06,Spain,2003,5,2,2
10140,2003-07-24,S10_1949,Classic Cars,37,100.0,7374.1,USA,2003,7,3,2
10150,2003-09-19,S10_1949,Classic Cars,45,100.0,10993.5,Singapore,2003,9,3,2
10163,2003-10-20,S10_1949,Classic Cars,21,100.0,4860.24,USA,2003,10,4,2
10174,2003-11-06,S10_1949,Classic Cars,34,100.0,8014.82,Australia,2003,11,4,2
10183,2003-11-13,S10_1949,Classic Cars,23,100.0,5372.57,USA,2003,11,4,2
10194,2003-11-25,S10_1949,Classic Cars,42,100.0,7290.36,France,2003,11,4,2
10206,2003-12-05,S10_1949,Classic Cars,47,100.0,9064.89,Canada,2003,12,4,2
10215,2004-01-29,S10_1949,Classic Cars,35,100.0,6075.3,USA,2004,1,1,2
10228,2004-03-10,S10_1949,Classic Cars,29,100.0,6463.23,USA,2004,3,1,2
10245,2004-05-04,S10_1949,Classic Cars,34,100.0,6120.34,USA,2004,5,2,2
10258,2004-06-15,S10_1949,Classic Cars,32,100.0,7680.64,Japan,2004,6,2,2
10270,2004-07-19,S10_1949,Classic Cars,21,100.0,4905.39,Australia,2004,7,3,2
10280,2004-08-17,S10_1949,Classic Cars,34,100.0,8014.82,Italy,2004,8,3,2
10291,2004-09-08,S10_1949,Classic Cars,37,100.0,7136.19,Sweden,2004,9,3,2
10304,2004-10-11,S10_1949,Classic Cars,47,100.0,10172.7,France,2004,10,4,2
10312,2004-10-21,S10_1949,Classic Cars,48,100.0,11623.7,USA,2004,10,4,2
10322,2004-11-04,S10_1949,Classic Cars,40,100.0,6000.4,USA,2004,11,4,2
10333,2004-11-18,S10_1949,Classic Cars,26,100.0,3003.0,USA,2004,11,4,2
10347,2004-11-29,S10_1949,Classic Cars,30,100.0,3944.7,Australia,2004,11,4,2
10357,2004-12-10,S10_1949,Classic Cars,32,100.0,5691.84,USA,2004,12,4,2
10369,2005-01-20,S10_1949,Classic Cars,41,100.0,4514.92,USA,2005,1,1,2
10381,2005-02-17,S10_1949,Classic Cars,36,100.0,8254.8,USA,2005,2,1,2
10391,2005-03-09,S10_1949,Classic Cars,24,100.0,2416.56,Australia,2005,3,1,2
10411,2005-05-01,S10_1949,Classic Cars,23,100.0,4140.23,Canada,2005,5,2,2
10424,2005-05-31,S10_1949,Classic Cars,50,100.0,12001.0,Spain,2005,5,2,2
10107,2003-02-24,S10_2016,Motorcycles,39,99.91,3896.49,USA,2003,2,1,3
10120,2003-04-29,S10_2016,Motorcycles,29,96.34,2793.86,Australia,2003,4,2,3
10134,2003-07-01,S10_2016,Motorcycles,27,100.0,3307.77,France,2003,7,3,3
10145,2003-08-25,S10_2016,Motorcycles,37,100.0,5192.95,USA,2003,8,3,3
10159,2003-10-10,S10_2016,Motorcycles,37,100.0,5016.83,USA,2003,10,4,3
10168,2003-10-28,S10_2016,Motorcycles,27,100.0,3660.93,USA,2003,10,4,3
10180,2003-11-11,S10_2016,Motorcycles,42,100.0,4695.6,France,2003,11,4,3
10188,2003-11-18,S10_2016,Motorcycles,38,96.34,3660.92,Norway,2003,11,4,3
10201,2003-12-01,S10_2016,Motorcycles,24,100.0,3025.92,USA,2003,12,4,3
10210,2004-01-12,S10_2016,Motorcycles,23,100.0,3009.09,Japan,2004,1,1,3
10223,2004-02-20,S10_2016,Motorcycles,47,100.0,5422.39,Australia,2004,2,1,3
10236,2004-04-03,S10_2016,Motorcycles,22,100.0,2852.08,USA,2004,4,2,3
10251,2004-05-18,S10_2016,Motorcycles,44,100.0,5756.52,USA,2004,5,2,3
10263,2004-06-28,S10_2016,Motorcycles,40,100.0,4472.0,USA,2004,6,2,3
10275,2004-07-23,S10_2016,Motorcycles,22,100.0,2904.44,France,2004,7,3,3
10285,2004-08-27,S10_2016,Motorcycles,47,100.0,6484.59,USA,2004,8,3,3
10298,2004-09-27,S10_2016,Motorcycles,39,96.34,3757.26,France,2004,9,3,3
10308,2004-10-15,S10_2016,Motorcycles,34,100.0,4043.96,USA,2004,10,4,3
10318,2004-11-02,S10_2016,Motorcycles,45,100.0,5566.5,USA,2004,11,4,3
10329,2004-11-15,S10_2016,Motorcycles,20,100.0,3176.0,USA,2004,11,4,3
10339,2004-11-23,S10_2016,Motorcycles,40,68.92,2756.8,Japan,2004,11,4,3
10361,2004-12-17,S10_2016,Motorcycles,26,51.15,1329.9,Australia,2004,12,4,3
10374,2005-02-02,S10_2016,Motorcycles,39,100.0,5288.01,Australia,2005,2,1,3
10388,2005-03-03,S10_2016,Motorcycles,50,44.51,2225.5,USA,2005,3,1,3
10402,2005-04-07,S10_2016,Motorcycles,45,100.0,5833.8,France,2005,4,2,3
10417,2005-05-13,S10_2016,Motorcycles,45,100.0,5887.35,Spain,2005,5,2,3
10107,2003-02-24,S10_4698,Motorcycles,27,100.0,6065.55,USA,2003,2,1,4
10120,2003-04-29,S10_4698,Motorcycles,46,100.0,9264.86,Australia,2003,4,2,4
10134,2003-07-01,S10_4698,Motorcycles,31,100.0,7023.98,France,2003,7,3,4
10145,2003-08-25,S10_4698,Motorcycles,33,100.0,5176.38,USA,2003,8,3,4
10159,2003-10-10,S10_4698,Motorcycles,22,100.0,4132.7,USA,2003,10,4,4
10168,2003-10-28,S10_4698,Motorcycles,20,100.0,4183.0,USA,2003,10,4,4
10180,2003-11-11,S10_4698,Motorcycles,41,100.0,8892.9,France,2003,11,4,4
10188,2003-11-18,S10_4698,Motorcycles,45,100.0,8714.7,Norway,2003,11,4,4
10201,2003-12-01,S10_4698,Motorcycles,49,100.0,8065.89,USA,2003,12,4,4
10210,2004-01-12,S10_4698,Motorcycles,34,100.0,6123.4,Japan,2004,1,1,4
10223,2004-02-20,S10_4698,Motorcycles,49,100.0,9774.03,Australia,2004,2,1,4
10237,2004-04-05,S10_4698,Motorcycles,39,100.0,7023.9,USA,2004,4,2,4
10251,2004-05-18,S10_4698,Motorcycles,43,100.0,7078.23,USA,2004,5,2,4
10263,2004-06-28,S10_4698,Motorcycles,41,100.0,8336.94,USA,2004,6,2,4
10275,2004-07-23,S10_4698,Motorcycles,36,100.0,6901.92,France,2004,7,3,4
10285,2004-08-27,S10_4698,Motorcycles,27,100.0,5438.07,USA,2004,8,3,4
10299,2004-09-30,S10_4698,Motorcycles,29,100.0,6683.34,Finland,2004,9,3,4
10308,2004-10-15,S10_4698,Motorcycles,20,100.0,4570.4,USA,2004,10,4,4
10318,2004-11-02,S10_4698,Motorcycles,37,100.0,7667.14,USA,2004,11,4,4
10329,2004-11-15,S10_4698,Motorcycles,26,100.0,5868.2,USA,2004,11,4,4
10339,2004-11-23,S10_4698,Motorcycles,39,76.67,2990.13,Japan,2004,11,4,4
10362,2005-01-05,S10_4698,Motorcycles,22,100.0,3664.1,USA,2005,1,1,4
10374,2005-02-02,S10_4698,Motorcycles,22,100.0,3834.38,Australia,2005,2,1,4
10388,2005-03-03,S10_4698,Motorcycles,21,86.77,1822.17,USA,2005,3,1,4
10403,2005-04-08,S10_4698,Motorcycles,66,100.0,11886.6,UK,2005,4,2,4
10417,2005-05-13,S10_4698,Motorcycles,56,100.0,9218.16,Spain,2005,5,2,4
10105,2003-02-11,S10_4757,Classic Cars,50,100.0,7208.0,Denmark,2003,2,1,5
10119,2003-04-28,S10_4757,Classic Cars,46,100.0,5004.8,Austria,2003,4,2,5
10129,2003-06-12,S10_4757,Classic Cars,33,100.0,4398.24,UK,2003,6,2,5
10143,2003-08-10,S10_4757,Classic Cars,49,100.0,5597.76,USA,2003,8,3,5
10155,2003-10-06,S10_4757,Classic Cars,32,100.0,4526.08,Finland,2003,10,4,5
10167,2003-10-23,S10_4757,Classic Cars,44,100.0,5924.16,Sweden,2003,10,4,5
10178,2003-11-08,S10_4757,Classic Cars,24,100.0,3492.48,France,2003,11,4,5
10186,2003-11-14,S10_4757,Classic Cars,26,100.0,3854.24,UK,2003,11,4,5
10197,2003-11-26,S10_4757,Classic Cars,45,100.0,5324.4,Spain,2003,11,4,5
10209,2004-01-09,S10_4757,Classic Cars,39,100.0,5197.92,USA,2004,1,1,5
10222,2004-02-19,S10_4757,Classic Cars,49,100.0,5997.6,USA,2004,2,1,5
10248,2004-05-07,S10_4757,Classic Cars,20,100.0,2910.4,USA,2004,5,2,5
10261,2004-06-17,S10_4757,Classic Cars,27,100.0,3378.24,Canada,2004,6,2,5
10273,2004-07-21,S10_4757,Classic Cars,30,100.0,3508.8,Belgium,2004,7,3,5
10283,2004-08-20,S10_4757,Classic Cars,25,100.0,2992.0,Canada,2004,8,3,5
10295,2004-09-10,S10_4757,Classic Cars,24,100.0,3427.2,USA,2004,9,3,5
10307,2004-10-14,S10_4757,Classic Cars,22,100.0,2692.8,USA,2004,10,4,5
10316,2004-11-01,S10_4757,Classic Cars,33,100.0,4128.96,UK,2004,11,4,5
10325,2004-11-05,S10_4757,Classic Cars,47,64.93,3051.71,Norway,2004,11,4,5
10337,2004-11-21,S10_4757,Classic Cars,25,48.05,1201.25,USA,2004,11,4,5
10350,2004-12-02,S10_4757,Classic Cars,26,75.47,1962.22,Spain,2004,12,4,5
10359,2004-12-15,S10_4757,Classic Cars,48,54.68,2624.64,France,2004,12,4,5
10373,2005-01-31,S10_4757,Classic Cars,39,100.0,4046.25,Finland,2005,1,1,5
